Region,Month of Period,MedianSalePrice,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Chicago, IL",2012/02,130000,-7.10%,-3.70%,1499,-19.30%,5.30%,3598,23.10%,7.70%,15258,3.80%,-18.80%,119,10,17,95.10%,-0.20%,-0.20%
"Chicago, IL",2012/03,148000,13.50%,5.40%,1975,31.80%,-0.90%,4099,13.90%,-13.10%,15603,2.30%,-19.30%,122,3,13,95.30%,0.30%,-0.90%
"Chicago, IL",2012/04,170000,15.10%,9.50%,1960,-0.80%,6.20%,3806,-7.10%,-2.00%,15746,0.90%,-18.70%,112,-10,-6,95.30%,0.00%,-0.30%
"Chicago, IL",2012/05,178000,4.70%,13.90%,2392,22.00%,12.10%,3864,1.50%,2.30%,15698,-0.30%,-19.00%,92,-20,-12,95.80%,0.50%,-0.30%
"Chicago, IL",2012/06,200000,12.70%,6.90%,2696,12.70%,18.50%,3488,-9.70%,-5.40%,15239,-2.90%,-19.80%,91,-1,-9,96.40%,0.70%,0.70%
"Chicago, IL",2012/07,184000,-8.20%,-1.70%,2559,-5.10%,29.60%,3464,-0.70%,3.20%,15029,-1.40%,-19.30%,87,-4,-16,96.30%,-0.10%,1.00%
"Chicago, IL",2012/08,191000,3.80%,6.10%,2813,9.90%,21.80%,3379,-2.50%,-4.40%,14470,-3.70%,-20.50%,89,2,-15,96.50%,0.20%,1.30%
"Chicago, IL",2012/09,185000,-3.10%,6.60%,2314,-17.70%,17.90%,3157,-6.60%,2.50%,14186,-2.00%,-19.10%,91,2,-11,96.70%,0.10%,1.90%
"Chicago, IL",2012/10,165000,-10.80%,1.20%,2570,11.10%,54.10%,3158,0.00%,8.60%,13692,-3.50%,-19.50%,87,-4,-21,96.30%,-0.30%,1.20%
"Chicago, IL",2012/11,170000,3.00%,15.10%,2132,-17.00%,35.50%,2339,-25.90%,-9.30%,12690,-7.30%,-21.80%,89,2,-18,96.80%,0.50%,1.80%
"Chicago, IL",2012/12,169000,-0.60%,12.70%,2329,9.20%,21.00%,1805,-22.80%,-9.90%,11403,-10.10%,-22.90%,98,9,-17,95.70%,-1.00%,0.90%
"Chicago, IL",2013/01,155000,-8.00%,11.00%,2149,-7.70%,15.70%,3227,78.80%,10.40%,11675,2.40%,-20.50%,97,-1,-12,96.30%,0.50%,0.90%
"Chicago, IL",2013/02,150000,-3.50%,15.40%,1781,-17.10%,18.80%,3455,7.10%,-4.00%,12103,3.70%,-20.70%,105,8,-14,97.00%,0.70%,1.90%
"Chicago, IL",2013/03,170000,13.30%,15.30%,1979,11.10%,0.20%,3807,10.20%,-7.10%,12339,1.90%,-20.90%,95,-10,-27,97.20%,0.20%,1.90%
"Chicago, IL",2013/04,185000,8.80%,9.00%,2579,30.30%,31.60%,4522,18.80%,18.80%,12868,4.30%,-18.30%,78,-17,-34,97.70%,0.50%,2.40%
"Chicago, IL",2013/05,210000,13.50%,18.10%,2954,14.50%,23.50%,4376,-3.20%,13.30%,13000,1.00%,-17.20%,68,-10,-24,98.50%,0.90%,2.80%
"Chicago, IL",2013/06,240000,14.30%,19.80%,2912,-1.40%,8.00%,4096,-6.40%,17.40%,13012,0.10%,-14.60%,68,0,-23,98.20%,-0.40%,1.80%
"Chicago, IL",2013/07,233000,-2.90%,26.60%,3593,23.40%,40.40%,4199,2.50%,21.20%,13047,0.30%,-13.20%,66,-2,-21,98.80%,0.60%,2.50%
"Chicago, IL",2013/08,230000,-1.50%,20.20%,3392,-5.60%,20.60%,3898,-7.20%,15.40%,12721,-2.50%,-12.10%,65,-1,-24,98.70%,-0.10%,2.20%
"Chicago, IL",2013/09,223000,-2.70%,20.70%,2660,-21.60%,15.00%,3700,-5.10%,17.20%,12812,0.70%,-9.70%,66,1,-25,98.60%,-0.20%,1.90%
"Chicago, IL",2013/10,220000,-1.50%,33.30%,3457,30.00%,34.50%,3392,-8.30%,7.40%,12512,-2.30%,-8.60%,66,0,-21,98.20%,-0.40%,1.90%
"Chicago, IL",2013/11,190000,-13.60%,11.80%,2249,-34.90%,5.50%,2323,-31.50%,-0.70%,10952,-12.50%,-13.70%,72,6,-17,97.90%,-0.30%,1.10%
"Chicago, IL",2013/12,201000,5.50%,18.60%,2496,11.00%,7.20%,1990,-14.30%,10.20%,9828,-10.30%,-13.80%,67,-5,-31,98.50%,0.60%,2.80%
"Chicago, IL",2014/01,185000,-7.70%,19.00%,2134,-14.50%,-0.70%,2766,39.00%,-14.30%,9829,0.00%,-15.80%,75,8,-22,97.90%,-0.60%,1.70%
"Chicago, IL",2014/02,180000,-2.70%,20.00%,1791,-16.10%,0.60%,3401,23.00%,-1.60%,10455,6.40%,-13.60%,80,5,-25,97.40%,-0.50%,0.50%
"Chicago, IL",2014/03,204000,13.10%,19.70%,1916,7.00%,-3.20%,4145,21.90%,8.90%,11089,6.10%,-10.10%,74,-6,-21,97.80%,0.30%,0.60%
"Chicago, IL",2014/04,215000,5.70%,16.20%,2932,53.00%,13.70%,4847,16.90%,7.20%,12046,8.60%,-6.40%,64,-10,-14,98.00%,0.20%,0.40%
